MinCount,Price,CommonProb,RareProb,EpicProb
int,int,float,float,float
4,50,0.7,0.3,0
8,100,0.6,0.35,0.05
13,150,0.55,0.35,0.1
18,250,0.5,0.35,0.15
24,400,0.45,0.35,0.2
30,550,0.4,0.35,0.25
38,750,0.35,0.4,0.25
47,1000,0.3,0.45,0.25
58,1400,0.25,0.5,0.25
70,1900,0.2,0.5,0.3
84,2400,0.2,0.5,0.3
103,3000,0.2,0.5,0.3
126,3700,0.2,0.5,0.3
157,4400,0.2,0.5,0.3
197,5300,0.2,0.5,0.3
249,6400,0.2,0.5,0.3
317,7700,0.2,0.5,0.3
405,9200,0.2,0.5,0.3
519,11000,0.2,0.5,0.3
668,13200,0.2,0.5,0.3
861,15800,0.2,0.5,0.3
1112,18300,0.2,0.5,0.3
1439,20800,0.2,0.5,0.3
1864,23300,0.2,0.5,0.3
2416,25900,0.2,0.5,0.3
3133,28600,0.2,0.5,0.3
4066,31500,0.2,0.5,0.3
5279,34500,0.2,0.5,0.3
6856,37800,0.2,0.5,0.3
8905,41400,0.2,0.5,0.3
11569,57400,0.2,0.5,0.3
15033,97200,0.2,0.5,0.3
19536,185000,0.2,0.5,0.3
25390,371200,0.2,0.5,0.3
33000,760900,0.2,0.5,0.3
42892,1572700,0.2,0.5,0.3
55753,3260400,0.2,0.5,0.3
72472,6767100,0.2,0.5,0.3
94206,14051300,0.2,0.5,0.3
115940,21335500,0.2,0.5,0.3
