CardID,Nature,Value,Rarity,TranslationText,Sktchtext,GiftedName
int,string,float,int,string,string,string
1,SkillDamage,0.2,1,技能伤害+20%,GiftedCard_Role_01,技能伤害 I
2,WeaponDamage,0.2,1,武器伤害+20%,GiftedCard_Role_02,武器伤害 I
3,SkillDamage,0.5,2,技能伤害+50%,GiftedCard_Role_03,技能伤害 II
4,WeaponDamage,0.5,2,武器伤害+50%,GiftedCard_Role_04,武器伤害 II
5,HP,5,2,血量+5,GiftedCard_Role_05,血量 I
6,MoveSpeed,0.01,2,移速+1%,GiftedCard_Role_06,移速 I
7,SkillDamage,1,3,技能伤害+100%,GiftedCard_Role_07,技能伤害 III
8,WeaponDamage,1,3,武器伤害+100%,GiftedCard_Role_08,武器伤害 III
9,HP,10,3,血量+10,GiftedCard_Role_09,血量 II
10,MoveSpeed,0.02,3,移速+2%,GiftedCard_Role_10,移速 II
