LevelID,PassMoney,HPMultiplying
int,int,float
1,100,1
2,135,1.3
3,182,1.7
4,246,2.2
5,332,2.9
6,448,3.7
7,605,4.8
8,817,6.3
9,1103,8.2
10,1489,10.6
11,2011,13.8
12,2714,17.9
13,3664,23.3
14,4947,30.3
15,6678,39.4
16,9016,51.2
17,12171,66.5
18,16431,86.5
19,22182,112.5
20,29946,146.2
21,40427,190
22,54577,247.1
23,73679,321.2
24,99466,417.5
25,134280,542.8
26,181278,705.6
27,244725,917.3
28,330378,1192.5
29,446011,1550.3
30,602115,2015.4
31,539410,2620
32,597359,3406
33,655307,4427.8
34,713256,5756.1
35,771204,7483
36,829153,9727.9
37,887101,12646.2
38,945050,16440.1
39,1002998,21372.1
40,1060947,27783.7
