ID,Name_key,BaseHP,BaseDamage,MoveSpeed,IsElite,IsBoss,Type
int,string,int,int,float,bool,bool,bool
1,NormalZombie,100,10,0.8,FALSE,FALSE,melee
2,NormalZombie_Blue,200,20,1.7,FALSE,FALSE,melee
3,NormalZombie_Red,300,30,2.5,FALSE,FALSE,melee
4,GrenadeZombie,75,20,0.8,FALSE,FALSE,range
5,GrenadeZombie_Red,150,40,0.8,FALSE,FALSE,range
6,ShieldZombie,1000,50,1,TRUE,FALSE,melee
7,ShieldZombie_Gold,8000,100,1.2,FALSE,TRUE,melee
8,BossButcher,10000,100,1.2,FALSE,TRUE,melee
9,BossFlower,12000,80,0,FALSE,TRUE,melee
10,AxeZombie,400,40,1.5,FALSE,FALSE,melee
11,NormalZombie,25,2,0.8,FALSE,FALSE,melee
12,NormalZombie_Blue,40,3,1.7,FALSE,FALSE,melee
13,NormalZombie_Red,60,4,2.5,FALSE,FALSE,melee
14,GrenadeZombie,25,3,0.8,FALSE,FALSE,range
15,GrenadeZombie_Red,50,6,0.8,FALSE,FALSE,range
16,ShieldZombie,100,5,1,TRUE,FALSE,melee
17,ShieldZombie_Gold,350,9,1.2,FALSE,TRUE,melee
18,BossButcher,400,10,1.2,FALSE,TRUE,melee
19,BossFlower,350,8,0,FALSE,TRUE,melee
20,AxeZombie,80,5,1.5,FALSE,FALSE,melee
