CardID,Nature,Value,Rarity,TranslationText,MathValue,Typetext,,,
int,string,float,int,string,string,string,,,
1,movespeed,0.3,3,Explosion_movespeed,30,General,,,移动速度+30%
2,WeaponDamage,1.5,3,Explosion_WeaponDamage,150,General,,,武器伤害+150%
3,SkillRange,6,3,Explosion_SkillRange,6,ACTIVE_SKILL,,,爆裂轰炸范围+6
4,SkillDamage,1.5,3,Explosion_SkillDamage,150,ACTIVE_SKILL,,,爆裂轰炸伤害+150%
5,SkillAmount,2,3,Explosion_SkillAmount,2,ACTIVE_SKILL,,,爆裂轰炸连续释放2次
6,SkillFireDamage,1.5,3,Explosion_SkillFireDamage_HIGH,3,ACTIVE_SKILL,,,爆裂轰炸附带3s燃烧伤害（大量）
7,WeaponBoomRange,3,3,Explosion_WeaponBoomRange,3,PASSIVE_SKILL,,,榴弹爆炸范围+3
8,WeaponBoomProbability,0.5,3,Explosion_WeaponBoomProbability,50,PASSIVE_SKILL,,,普攻有50%概率触发榴弹
9,WeaponDoubleBoom,1,3,Explosion_WeaponDoubleBoom,1,PASSIVE_SKILL,,,榴弹击败敌人后立刻原地爆炸1次
10,WeaponBoomDamage,1.5,3,Explosion_WeaponBoomDamage,150,PASSIVE_SKILL,,,绝命绝命榴弹伤害+150%
11,ReloadSpeed,0.75,3,Explosion_ReloadSpeed,75,PASSIVE_SKILL,,,换弹速度提升75%
12,movespeed,0.2,2,Explosion_movespeed,20,General,,,移动速度+20%
13,WeaponDamage,0.8,2,Explosion_WeaponDamage,80,General,,,武器伤害+80%
14,SkillRange,4,2,Explosion_SkillRange,4,ACTIVE_SKILL,,,爆裂轰炸范围+4
15,SkillCD,0.3,2,Explosion_SkillCD,30,ACTIVE_SKILL,,,爆裂轰炸冷却-30%
16,SkillDamage,0.8,2,Explosion_SkillDamage,80,ACTIVE_SKILL,,,爆裂轰炸伤害+80%
17,SkillFireDamage,1,2,Explosion_SkillFireDamage_MIDDLE,3,ACTIVE_SKILL,,,爆裂轰炸附带3s燃烧伤害（中量）
18,ReloadNow,1,2,Explosion_ReloadNow,,ACTIVE_SKILL,,,爆裂轰炸释放后立刻装弹
19,WeaponBoomRange,2,2,Explosion_WeaponBoomRange,2,PASSIVE_SKILL,,,榴弹爆炸范围+2
20,WeaponMaxMagazine,2,2,Explosion_WeaponMaxMagazine,2,PASSIVE_SKILL,,,最大弹匣容量+2
21,WeaponBoomProbability,0.25,2,Explosion_WeaponBoomProbability,25,PASSIVE_SKILL,,,普攻有25%概率触发榴弹
22,WeaponBoomDamage,0.8,2,Explosion_WeaponBoomDamage,80,PASSIVE_SKILL,,,绝命榴弹伤害+80%
23,ReloadSpeed,0.5,2,Explosion_ReloadSpeed,50,PASSIVE_SKILL,,,换弹速度提升50%
24,movespeed,0.1,1,Explosion_movespeed,10,General,,,移动速度+10% 
25,WeaponDamage,0.5,1,Explosion_WeaponDamage,50,General,,,武器伤害+50%
26,SkillRange,2,1,Explosion_SkillRange,2,ACTIVE_SKILL,,,爆裂轰炸范围+2
27,SkillCD,0.15,1,Explosion_SkillCD,15,ACTIVE_SKILL,,,爆裂轰炸冷却-15%
28,SkillDamage,0.5,1,Explosion_SkillDamage,50,ACTIVE_SKILL,,,爆裂轰炸伤害+50%
29,SkillFireDamage,0.5,1,Explosion_SkillFireDamage_SMALL,3,ACTIVE_SKILL,,,爆裂轰炸附带3s燃烧伤害（少量）
30,WeaponBoomRange,1,1,Explosion_WeaponBoomRange,1,PASSIVE_SKILL,,,榴弹爆炸范围+1
31,WeaponBoomDamage,0.5,1,Explosion_WeaponBoomDamage,50,PASSIVE_SKILL,,,绝命榴弹伤害+50%
32,ReloadSpeed,0.25,1,Explosion_ReloadSpeed,25,PASSIVE_SKILL,,,换弹速度提升25%
