CardID,Nature,Value,Rarity,TranslationText,MathValue,Typetext,,
int,string,float,int,string,string,string,,
1,movespeed,0.3,3,Electric_movespeed,30,General,,移动速度+30%
2,WeaponDamage,1.5,3,Electric_WeaponDamage,150,General,,武器伤害+150%
3,LightningAmount,3,3,Electric_LightningAmount,3,ACTIVE_SKILL,,电弧冲击闪电数量+3
4,SkillDamage,1.5,3,Electric_SkillDamage,150,ACTIVE_SKILL,,电弧冲击伤害+150%
5,SkillAmount,2,3,Electric_SkillAmount,2,PASSIVE_SKILL,,闪电触发连续释放2次
6,LightningRange,3,3,Electric_LightningRange,3,ACTIVE_SKILL,,电弧冲击爆炸范围+3m
7,LightningExplosion,1,3,Electric_LightningExplosion,100,ACTIVE_SKILL,,电弧冲击命中产生100%伤害的大爆炸
8,WeaponLightningProb,0.15,3,Electric_WeaponLightningProb,15,PASSIVE_SKILL,,闪电触发几率+15%
9,ReloadBuff,0.3,3,Electric_ReloadBuff,30,PASSIVE_SKILL,,每次换弹后短暂提升30%射速
10,ReloadSpeed,0.75,3,Electric_ReloadSpeed,75,PASSIVE_SKILL,,换弹速度提升75%
11,movespeed,0.2,2,Electric_movespeed,20,General,,移动速度+20%
12,WeaponDamage,0.8,2,Electric_WeaponDamage,80,General,,武器伤害+80%
13,LightningAmount,2,2,Electric_LightningAmount,2,ACTIVE_SKILL,,电弧冲击闪电数量+2
14,SkillCD,0.3,2,Electric_SkillCD,30,ACTIVE_SKILL,,技能冷却-30%
15,SkillDamage,0.8,2,Electric_SkillDamage,80,ACTIVE_SKILL,,电弧冲击伤害+80%
16,LightningRange,2,2,Electric_LightningRange,2,ACTIVE_SKILL,,电弧冲击爆炸范围+2m
17,LightningExplosion,0.5,2,Electric_LightningExplosion,50,ACTIVE_SKILL,,电弧冲击命中产生50%伤害的小爆炸
18,ReloadNow,0,2,Electric_ReloadNow,,PASSIVE_SKILL,,技能后立刻装弹
19,WeaponLightningProb,0.1,2,Electric_WeaponLightningProb,10,PASSIVE_SKILL,,闪电触发几率+10%
20,WeaponMaxMagazine,10,2,Electric_WeaponMaxMagazine,10,PASSIVE_SKILL,,弹匣容量+10
21,AttackSpeed,0.2,2,Electric_AttackSpeed,20,PASSIVE_SKILL,,攻击速度+20%
22,ReloadSpeed,0.5,2,Electric_ReloadSpeed,50,PASSIVE_SKILL,,换弹速度提升50%
23,movespeed,0.1,1,Electric_movespeed,10,General,,移动速度+10% 
24,WeaponDamage,0.5,1,Electric_WeaponDamage,50,General,,武器伤害+50%
25,LightningAmount,1,1,Electric_LightningAmount,1,ACTIVE_SKILL,,电弧冲击闪电数量+1
26,SkillCD,0.15,1,Electric_SkillCD,15,ACTIVE_SKILL,,技能冷却-15%
27,SkillDamage,0.5,1,Electric_SkillDamage,50,ACTIVE_SKILL,,电弧冲击伤害+50%
28,LightningRange,1,1,Electric_LightningRange,1,ACTIVE_SKILL,,电弧冲击爆炸范围+1m
29,WeaponLightningProb,0.05,1,Electric_WeaponLightningProb,5,PASSIVE_SKILL,,闪电触发几率+5%
30,ReloadSpeed,0.25,1,Electric_ReloadSpeed,25,PASSIVE_SKILL,,换弹速度提升25%
