CardID,Nature,Value,Rarity,TranslationText,Sktchtext,,
int,string,float,int,string,string,,
1,SkillDamage,0.2,1,技能伤害+20%,GiftedCard_Role_01,,Movement Speed +{0}%
2,WeaponDamage,0.2,1,武器伤害+20%,GiftedCard_Role_02,,
3,SkillDamage,0.5,2,技能伤害+50%,GiftedCard_Role_03,,
4,WeaponDamage,0.5,2,武器伤害+50%,GiftedCard_Role_04,,
5,HP,5,2,血量+5,GiftedCard_Role_05,,
6,MoveSpeed,0.01,2,移速+1%,GiftedCard_Role_06,,
7,SkillDamage,1,3,技能伤害+100%,GiftedCard_Role_07,,
8,WeaponDamage,1,3,武器伤害+100%,GiftedCard_Role_08,,
9,HP,10,3,血量+10,GiftedCard_Role_09,,
10,MoveSpeed,0.02,3,移速+2%,GiftedCard_Role_10,,
,,,,,,,
