babbbc4bf711e4b46a1401364e824401|Material|assets/stdlibrary/material/defaultmaterial.mat|stdlibrary/material/defaultmaterial.ab
36b9bf0fcd4c4078be2f7d618cb12d40|Text|assets/resources/shaders/aofields/aofields.cginc|stdlibrary/shaders
4229465d9d894524d967e2f26274e75b|Other|assets/resources/shaders/aofields/copydepth.shader|stdlibrary/shaders
82adcb72797346b3bd242c95238a5874|Text|assets/resources/shaders/aofields/reconstructnormal.cginc|stdlibrary/shaders
4d8e51d25a5847b790701ed9d379a5de|Other|assets/resources/shaders/aofields/volume.shader|stdlibrary/shaders
cc00e3e9b9ed9d345b01622f4fe4f0ef|Other|assets/resources/shaders/brmobile/addtive.shader|stdlibrary/shaders
de9f0ecb6156ccb48b455400637ccb79|Other|assets/resources/shaders/brmobile/alphablend.shader|stdlibrary/shaders
5f42bfb978c734a4dae33e306917bb6b|Other|assets/resources/shaders/brmobile/artunifromlight/brmobilepreviewlayerblingphong.shader|stdlibrary/shaders
2fb99bff9a9e5c34a88136be56c4cd2e|Other|assets/resources/shaders/brmobile/artunifromlight/brmobilereflectionblinnphong.shader|stdlibrary/shaders
52cc1ccc6f14d89409344fbdfd62874c|Text|assets/resources/shaders/brmobile/artunifromlight/brmobileuniformlight.cginc|stdlibrary/shaders
e9c8229459fad9f4f898e6fd418c2e8a|Other|assets/resources/shaders/brmobile/artunifromlight/diffuse_simple.shader|stdlibrary/shaders
22b8ab4a03dfa3440ae78724bf0fbc48|Other|assets/resources/shaders/brmobile/artunifromlight/ocean_caustics.shader|stdlibrary/shaders
d8a39e120d0780a4ebac71ccb8a36f88|Other|assets/resources/shaders/brmobile/artunifromlight/skybox_2tex.shader|stdlibrary/shaders
03ca97962a9a6654494ff076c6b8c540|Other|assets/resources/shaders/brmobile/artunifromlight/terrain_blingphong_4map2normal.shader|stdlibrary/shaders
4f14d31823f0643428dafc26de221ad3|Other|assets/resources/shaders/brmobile/artunifromlight/tree_worldposhue_spec_vertanim.shader|stdlibrary/shaders
82809fe2b9086ea45bcdc9c3f1334322|Other|assets/resources/shaders/brmobile/artunifromlight/twotexmixed_refblinnphong.shader|stdlibrary/shaders
26de8bfa85541f645affb8a9a2954497|Other|assets/resources/shaders/brmobile/artunifromlight/uniformmetapass.shader|stdlibrary/shaders
845e20aae5efea94ca2c9b16c8c909cd|Other|assets/resources/shaders/brmobile/artunifromlight/uniformshadow.shader|stdlibrary/shaders
055636608832df942830572a19e8fa53|Other|assets/resources/shaders/brmobile/artunifromlight/uv2ref.shader|stdlibrary/shaders
f351935dfcc1da64a92638ea71b943e3|Text|assets/resources/shaders/brmobile/avatar/avatarcommon.cginc|stdlibrary/shaders
f30e9783ed6e0a54aab00ef2d3c18eb3|Text|assets/resources/shaders/brmobile/avatar/cloth.cginc|stdlibrary/shaders
2ebdd616672651443a05139ba18a5d7d|Text|assets/resources/shaders/brmobile/avatar/seethrough.cginc|stdlibrary/shaders
a1ef4589dc4ee254b928d01a4e0b2c79|Text|assets/resources/shaders/brmobile/avatar/skin.cginc|stdlibrary/shaders
c949505cfb6030b47b394958199928ad|Other|assets/resources/shaders/brmobile/blend/darken.shader|stdlibrary/shaders
2e008eb159d66674f85ebd705b79f3af|Other|assets/resources/shaders/brmobile/blend/lighten.shader|stdlibrary/shaders
586c04962cf9b454b856b779f1b730f6|Other|assets/resources/shaders/brmobile/blend/multiply.shader|stdlibrary/shaders
c40f88cae11120c45a18e916e300d780|Other|assets/resources/shaders/brmobile/blend/screen.shader|stdlibrary/shaders
54ca7dcd4e843ba4c923155cafd25374|Other|assets/resources/shaders/brmobile/bralphablendwithshadow.shader|stdlibrary/shaders
50ff4015a1f26974cab9f51841bd034c|Other|assets/resources/shaders/brmobile/brmobilealphablendcolor.shader|stdlibrary/shaders
98ffe8f7caf930a4d91206d76fcb0a02|Other|assets/resources/shaders/brmobile/brmobilealphablendcolordiffuse.shader|stdlibrary/shaders
99881f7507f81864ea2a73c18b1a07e9|Other|assets/resources/shaders/brmobile/brmobilealphablendseperate.shader|stdlibrary/shaders
f8f5e5b035ca81d44aaef290db49e78b|Other|assets/resources/shaders/brmobile/brmobilealphablendtwosidescolor.shader|stdlibrary/shaders
25aa300b8831db34881000df43074303|Other|assets/resources/shaders/brmobile/brmobilealphablendvertexlit.shader|stdlibrary/shaders
48b4c72f8db25e041a68555a022a014d|Other|assets/resources/shaders/brmobile/brmobilealphashadowblendcolor.shader|stdlibrary/shaders
25f55a62e712fd0438e16be4bccd048f|Other|assets/resources/shaders/brmobile/brmobileblur.shader|stdlibrary/shaders
c940b20c6f9a95842a824654a71a2ddc|Other|assets/resources/shaders/brmobile/brmobilebumpdiffuse.shader|stdlibrary/shaders
0dca1ef3e7bfc324f94b4dbcbd73ab18|Other|assets/resources/shaders/brmobile/brmobilebumpspec.shader|stdlibrary/shaders
bf9837f6bab339e4fbded6e170656d32|Other|assets/resources/shaders/brmobile/brmobilebumpspecdecal.shader|stdlibrary/shaders
e8859aefb4cdcb0418da65157526fecb|Other|assets/resources/shaders/brmobile/brmobilebumpspecdecal_viewdirchangetexs.shader|stdlibrary/shaders
36c8dd3623c8cc64fb1ecb0b1854b591|Other|assets/resources/shaders/brmobile/brmobilebumpspecemissive.shader|stdlibrary/shaders
56a1ed48af5c113438af4d7cf4af424e|Other|assets/resources/shaders/brmobile/brmobilebumpspeclow.shader|stdlibrary/shaders
884ec31cdf0f6f640aee7dc82d3b1dc2|Other|assets/resources/shaders/brmobile/brmobilebumpspecmix.shader|stdlibrary/shaders
00a36db7dad04b6489d66c5d9371f34c|Other|assets/resources/shaders/brmobile/brmobilebumpspecunlit.shader|stdlibrary/shaders
66162f286f0c45748998c63e71a5919f|Other|assets/resources/shaders/brmobile/brmobilebumpspecuvanim.shader|stdlibrary/shaders
1150b562cf6facc4b8ae07a31ebd4b3b|Text|assets/resources/shaders/brmobile/brmobilecommon.cginc|stdlibrary/shaders
44e7234e984f7a04cb25f23b53ae3580|Text|assets/resources/shaders/brmobile/brmobilecommon_hd.cginc|stdlibrary/shaders
